filename,width,height,class,xmin,ymin,xmax,ymax
ales-krivec-1Ofu8QGRFrg-unsplash.jpg,600,536,red_panda,144,60,416,424
jim-bread-SBnxlHHrEwk-unsplash.jpg,400,600,red_panda,0,126,304,398
jim-bread-XW7CGOlNG40-unsplash.jpg,600,400,red_panda,260,0,559,296
joshua-j-cotten-7JaeaeWQ8cE-unsplash.jpg,400,600,red_panda,180,174,318,424
natasha-ong-SQ3CZH_mKsM-unsplash.jpg,600,400,red_panda,0,80,386,284
rafael-garcin-UdLKOwwmA-o-unsplash.jpg,600,450,red_panda,232,185,568,423
ritchie-valens-qZPzLJyiN7E-unsplash.jpg,600,372,red_panda,144,91,362,330
sonny-ravesteijn-N09f4fB92hI-unsplash.jpg,600,400,red_panda,101,118,296,387
sonny-ravesteijn-N09f4fB92hI-unsplash.jpg,600,400,red_panda,252,114,510,333
valentin-jorel-lftG-5nPTf8-unsplash.jpg,600,400,red_panda,225,103,450,294
valentin-petkov-loL9nnBK-fE-unsplash.jpg,338,600,red_panda,6,170,214,412
valentin-petkov-loL9nnBK-fE-unsplash.jpg,338,600,red_panda,193,264,338,421
aug1_ales-krivec-1Ofu8QGRFrg-unsplash.jpg,600,536,red_panda,183,60,455,424
aug1_jim-bread-SBnxlHHrEwk-unsplash.jpg,400,600,red_panda,137,195,319,359
aug1_jim-bread-XW7CGOlNG40-unsplash.jpg,600,400,red_panda,66,0,482,289
aug1_joshua-j-cotten-7JaeaeWQ8cE-unsplash.jpg,400,600,red_panda,81,174,219,424
aug1_natasha-ong-SQ3CZH_mKsM-unsplash.jpg,600,400,red_panda,213,80,599,284
aug1_rafael-garcin-UdLKOwwmA-o-unsplash.jpg,600,450,red_panda,264,204,441,329
aug1_ritchie-valens-qZPzLJyiN7E-unsplash.jpg,600,372,red_panda,217,75,435,314
aug1_sonny-ravesteijn-N09f4fB92hI-unsplash.jpg,600,400,red_panda,90,120,330,400
aug1_sonny-ravesteijn-N09f4fB92hI-unsplash.jpg,600,400,red_panda,237,78,531,339
aug1_valentin-jorel-lftG-5nPTf8-unsplash.jpg,600,400,red_panda,26,66,305,357
aug1_valentin-petkov-loL9nnBK-fE-unsplash.jpg,338,600,red_panda,109,240,262,418
aug1_valentin-petkov-loL9nnBK-fE-unsplash.jpg,338,600,red_panda,247,309,338,425
